Date,Content,Video title,Video publish time,Duration,Engaged views
2026-07-11,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-12,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-13,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-14,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-15,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-16,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-17,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-18,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-19,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-20,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-21,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-22,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-23,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-24,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-25,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-26,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-27,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-28,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-29,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-30,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-07-31,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-08-01,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-08-02,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-08-03,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-08-04,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-08-05,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-08-06,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,0
2026-08-07,06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,1
2026-07-11,1z_EMObUZMc,The Tiny Green Padlock That Locked Me Down,"Aug 7, 2026",29,0
2026-07-12,1z_EMObUZMc,The Tiny Green Padlock That Locked Me Down,"Aug 7, 2026",29,0
2026-07-13,1z_EMObUZMc,The Tiny Green Padlock That Locked Me Down,"Aug 7, 2026",29,0
2026-07-14,1z_EMObUZMc,The Tiny Green Padlock That Locked Me Down,"Aug 7, 2026",29,0
2026-07-15,1z_EMObUZMc,The Tiny Green Padlock That Locked Me Down,"Aug 7, 2026",29,0
2026-07-16,1z_EMObUZMc,The Tiny Green Padlock That Locked Me Down,"Aug 7, 2026",29,0
2026-07-17,1z_EMObUZMc,The Tiny Green Padlock That Locked Me Down,"Aug 7, 2026",29,0
2026-07-18,1z_EMObUZMc,The Tiny Green Padlock That Locked Me Down,"Aug 7, 2026",29,0
2026-07-19,1z_EMObUZMc,The Tiny Green Padlock That Locked Me Down,"Aug 7, 2026",29,0
