Content,Video title,Video publish time,Duration,Engaged views,Average percentage viewed (%),Average view duration,Regular viewers,Casual viewers,Returning viewers,New viewers,Average views per viewer,Unique reach,Unique viewers,Stayed to watch (%),Comments added,Shares,Likes (vs dislikes) (%),Dislikes,Likes,Subscribers lost,Subscribers gained,Hype points,Hypes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,1487,43.44,0:00:11,0,0,1,0,1.25,11,4,29,0,0,100,0,39,0,1,0,0,4747,6.4714,1,183,1.09
7IJodFRAWBg,The Polaroid That Predicted My Future,"Aug 7, 2026",25,535,44.13,0:00:11,,,,,1,9,3,36.9,0,0,100,0,10,0,0,0,0,1401,2.0916,0,18,5.56
1z_EMObUZMc,The Tiny Green Padlock That Locked Me Down,"Aug 7, 2026",29,506,44.92,0:00:13,,,,,,0,0,26.69,0,0,100,0,13,0,1,,,1738,2.5385,1,36,0
_H7-sTEWFZI,The Basement Door That Used My Key,"Aug 7, 2026",24,440,40.33,0:00:09,,,,,,0,0,24.83,0,0,100,0,16,,,,,1599,1.8116,,55,0
ZTBR-CuxO4k,A Midnight Text That Made Me Run,"Aug 7, 2026",26,2,33.12,0:00:08,,,,,,0,0,66.67,,,,,,,,,,3,0.005,,10,0
06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,1,41,0:00:20,,,,,,0,0,100,,,,,,,,,,1,0.0057,,3,33.33
4IkzQYF1_m4,"I Ignored Dad's Warning, Found a Door Inside","Aug 7, 2026",29,1,17.93,0:00:05,,,,,,0,0,100,,,,,,,,,,1,0.0014,,3,0
SIQTuU2Oj_E,dagger headshot 🗣️ . dagger master. attitude gameplay bgmi #pubgmobile #pubgbattlegroundsmobileindia,"May 27, 2024",16,,,,,,,,,0,0,,,,,,,,,,,,,,3,0
2ek1mF31nyk,back to back 1v2 and smooth rotation with m63 #bgmi,"Jun 9, 2024",40,,,,,,,,,0,0,,,,,,,,,,,,,,2,0
ZSS5QhvobSo,back to back tehelka with m24 and grenade #bgmishorts,"Jun 14, 2024",10,,,,,,,,,0,0,,,,,,,,,,,,,,3,0
XCEtsPBfeVo,The Box Under Blankets That Broke My Attic,"Aug 8, 2026",20,,,,,,,,,0,0,,,,,,,,,,,,,,4,0
MxKTXm9CLwE,1v2 funny fight with uzi 🤣 full funny gameplay,"Jun 5, 2024",15,,,,,,,,,0,0,,,,,,,,,,,,,,1,0
6cWrxmqXadw,Security Guard Texts: My Apartment’s Live Feed,"Aug 7, 2026",27,,,,,,,,,0,0,,,,,,,,,,,,,,13,0
Y-VfL37qmeQ,Bas ak hacker jesa spray he bas . bgmi game play,"May 14, 2024",12,,,,,,,,,0,0,,,,,,,,,,,,,,1,0
