Content,Video title,Video publish time,Duration,Engaged views,Average view duration,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Unique reach,Views (co-viewed),Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Comments added,Shares,Likes (vs dislikes) (%),Views,Watch time (hours),Subscribers,Thumbnail impressions,Thumbnail click-through rate (%)
Total,,,,2982,0:00:11,40.05,25.99,0,7993,10551,0,0,0,0,0,0,0,5,2,95,0,0,2,100,10558,13.4263,3,1660,1.27
7IJodFRAWBg,The Polaroid That Predicted My Future,"Aug 7, 2026",25,533,0:00:10,43.8,36.89,,1240,1405,,,,,,0,0,0,0,10,0,0,0,100,1394,2.0719,0,43,2.33
1z_EMObUZMc,The Tiny Green Padlock That Locked Me Down,"Aug 7, 2026",29,507,0:00:12,44.56,26.71,,1616,1744,,,,,,0,0,1,0,13,0,0,0,100,1739,2.5278,1,123,0
_H7-sTEWFZI,The Basement Door That Used My Key,"Aug 7, 2026",24,499,0:00:09,39.88,25.04,,1648,1817,,,,,,0,0,0,0,17,0,0,0,100,1795,2.0323,0,122,0.82
Pjsc4QsGZJw,The GPS That Told Me I Wasn't Home,"Aug 9, 2026",34,191,0:00:12,38.23,22.18,,723,800,,,,,,0,0,0,0,4,0,0,0,100,800,0.9589,0,38,2.63
csqoVsbwxKU,The Key That Opened My Childhood Room,"Aug 8, 2026",36,188,0:00:11,32.57,28.27,,535,619,,,,,,0,0,1,0,6,0,0,0,100,618,0.7698,1,34,0
761IuvmWZF8,The Light That Sealed My Room.,"Aug 8, 2026",34,171,0:00:08,25.51,19.15,,722,792,,,,,,0,0,1,0,1,0,0,0,100,788,0.6568,1,15,0
oBxfz1Ydugk,The Red Box That Vanished Overnight,"Aug 9, 2026",38,150,0:00:14,37.62,32.4,,397,443,,,,,,0,0,2,0,11,0,0,0,100,442,0.7225,2,48,0
K0kphI7m4jI,The Tin Box That Whispered My Past,"Aug 8, 2026",25,131,0:00:10,41.74,21.62,,505,560,,,,,,0,0,0,0,9,0,0,0,100,556,0.5414,0,11,9.09
PfCnbe62SGc,The Mirror That Showed a Future Me,"Aug 8, 2026",35,86,0:00:11,34.09,28.29,,263,290,,,,,,0,0,0,0,4,0,0,0,100,290,0.3618,0,27,0
7tCH5p90vlk,The Basement Door That Wouldn't Stay Closed,"Aug 9, 2026",33,64,0:00:20,63.1,24.6,,206,233,,,,,,0,0,0,0,3,0,0,0,100,241,0.4343,0,44,9.09
XCEtsPBfeVo,The Box Under Blankets That Broke My Attic,"Aug 8, 2026",20,64,0:00:08,44.33,18.37,,295,314,,,,,,0,0,0,0,1,0,0,0,100,314,0.2628,0,56,0
1vks7WT7Tus,The Red Flag That Fell Behind Time,"Aug 9, 2026",47,50,0:00:12,26.24,28.25,,147,167,,,,,,0,0,0,0,4,0,0,0,100,166,0.2164,0,60,0
EljRgbz_Utw,The shoebox that revealed my own future,"Aug 9, 2026",33,43,0:00:12,39.26,13.74,,275,287,,,,,,0,0,0,0,2,0,0,0,100,288,0.2354,0,29,3.45
HxNiqf0lm_I,The Storage Door That Opened Itself,"Aug 9, 2026",34,36,0:00:15,46.56,26.28,,118,128,,,,,,0,0,0,0,1,0,0,0,100,127,0.1908,0,5,0
06CK4C3dQOU,The Text That Ruined Her Wedding Night,"Aug 7, 2026",50,30,0:00:25,50.53,61.22,,44,52,,,,,,0,0,0,0,0,0,0,0,,52,0.2188,0,6,16.67
0NXRPUC2fo4,The stove door that opened a hidden world,"Aug 8, 2026",32,28,0:00:11,35.95,21.54,,110,120,,,,,,0,0,0,0,2,0,0,0,100,119,0.1279,0,15,0
E9p7-0KxrfQ,The Hidden Drawer That Spilled Time,"Aug 9, 2026",38,27,0:00:21,56.3,36,,69,77,,,,,,0,0,0,0,1,0,0,0,100,78,0.1755,0,9,0
kXx8IZKAj7o,The Mailbox That Never Opened,"Aug 8, 2026",33,26,0:00:11,35.43,17.33,,130,136,,,,,,0,0,0,0,0,0,0,0,,134,0.1246,0,31,9.68
